Year,Lake Erie annual averages,Michigan-Huron annual averages,Lake Ontario annual averages,Lake Superior annual averages
1968,174.2041667,176.4466667,74.79916667,183.49
1969,174.39,176.6958333,74.74916667,183.5108333
1970,174.2583333,176.6783333,74.68583333,183.4508333
1971,174.3116667,176.805,74.72333333,183.5825
1972,174.5,176.8883333,74.935,183.5533333
1973,174.7408333,177.1233333,75.21,183.5958333
1974,174.6891667,177.0933333,75.06583333,183.615
1975,174.6158333,176.9733333,74.81,183.5941667
1976,174.5733333,176.8991667,75.04416667,183.4841667
1977,174.2975,176.505,74.75833333,183.3666667
1978,174.3725,176.5908333,74.92083333,183.4383333
1979,174.3916667,176.7941667,74.84,183.4941667
1980,174.5216667,176.8033333,74.82333333,183.4358333
1981,174.3983333,176.6983333,74.78583333,183.36
1982,174.425,176.5983333,74.7525,183.4208333
1983,174.5208333,176.8333333,74.82166667,183.5675
1984,174.5225,176.895,74.90166667,183.54
1985,174.7283333,177.1266667,74.8775,183.6683333
1986,174.8983333,177.2925,75.1475,183.7325
1987,174.6675,176.97,74.84916667,183.4683333
1988,174.2616667,176.5641667,74.68,183.3175
1989,174.2258333,176.4008333,74.76083333,183.4025
1990,174.2941667,176.35,74.80416667,183.2575
1991,174.3266667,176.4691667,74.87,183.345
1992,174.3566667,176.4791667,74.8325,183.3975
1993,174.5041667,176.6958333,75.0425,183.4525
1994,174.3666667,176.6783333,74.755,183.4425
1995,174.2841667,176.5275,74.73916667,183.3433333
1996,174.375,176.6541667,74.87333333,183.55
1997,174.7175,176.9841667,74.9625,183.5966667
1998,174.5508333,176.7166667,74.91,183.3241667
1999,174.1025,176.2358333,74.5725,183.265
2000,173.99,175.9783333,74.78,183.18
2001,173.9141667,175.9508333,74.69916667,183.2016667
2002,174.0583333,176.1183333,74.79,183.285
2003,173.9658333,175.8916667,74.71333333,183.1875
2004,174.1158333,176.1108333,74.84833333,183.2983333
2005,174.17,176.09,74.82166667,183.3291667
2006,174.1466667,176.0158333,74.83083333,183.1833333
2007,174.1391667,175.9433333,74.75166667,182.9833333
2008,174.1591667,176.005,74.875,183.2116667
2009,174.2483333,176.2583333,74.87333333,183.2625
2010,174.0541667,176.1108333,74.67,183.145
2011,174.2406667,176.0366,74.80183,183.0934167
2012,174.1283333,175.9158,74.695,183.1008333
2013,174.06,175.9,74.74,183.22
2014,174.21,176.3016667,74.77,183.51
2015,174.32,176.59,74.74,183.57
