ym,year,month,flights,dep_delayed,arr_delayed,dep_delay_rate,arr_delay_rate,dep_delay_hours_mean,dep_delay_hours_std,cancelled_total,cancel_carrier_pct,cancel_weather_pct,cancel_nas_pct,cancel_security_pct
2022-02-01,2022,2,267,55,50,20.59925093632959,18.726591760299627,0.52,0.7153676269938707,11,9.090909090909092,90.9090909090909,0.0,0.0
2022-03-01,2022,3,267,69,65,25.84269662921348,24.344569288389515,0.667528735632184,0.796146652269986,6,16.666666666666668,50.0,33.333333333333336,0.0
2022-04-01,2022,4,267,63,60,23.59550561797753,22.471910112359552,0.6235119047619048,0.8394268313929484,1,100.0,0.0,0.0,0.0
2022-05-01,2022,5,267,52,46,19.475655430711612,17.228464419475657,0.7877777777777778,2.38996887235508,5,60.0,20.0,20.0,0.0
2022-06-01,2022,6,267,65,58,24.344569288389515,21.722846441947567,0.661864406779661,1.1475749684194914,8,37.5,50.0,12.5,0.0
2022-07-01,2022,7,267,62,59,23.220973782771537,22.09737827715356,0.5709480122324159,0.6974136658729314,7,42.857142857142854,42.857142857142854,14.285714285714286,0.0
2022-08-01,2022,8,267,53,54,19.850187265917604,20.224719101123597,0.8202508960573477,1.344814359309352,8,12.5,75.0,12.5,0.0
2022-09-01,2022,9,267,38,42,14.232209737827715,15.730337078651685,0.43458781362007165,0.7095247293369691,1,0.0,100.0,0.0,0.0
2022-10-01,2022,10,267,44,41,16.47940074906367,15.355805243445692,0.5592803030303031,0.8367205412068937,3,33.333333333333336,66.66666666666667,0.0,0.0
2022-11-01,2022,11,267,43,46,16.10486891385768,17.228464419475657,0.5901960784313726,1.4821006428690675,5,20.0,80.0,0.0,0.0
2022-12-01,2022,12,267,61,65,22.846441947565545,24.344569288389515,0.7037216828478965,0.9113270867449561,13,84.61538461538461,15.384615384615385,0.0,0.0
2023-01-01,2023,1,267,44,49,16.47940074906367,18.352059925093634,0.5526666666666666,0.8441809796334311,8,25.0,50.0,25.0,0.0
2023-02-01,2023,2,267,42,39,15.730337078651685,14.606741573033707,0.720886075949367,1.4816312820960844,6,16.666666666666668,83.33333333333333,0.0,0.0
2023-03-01,2023,3,267,53,55,19.850187265917604,20.59925093632959,0.8516501650165016,1.7063500763496056,1,0.0,0.0,100.0,0.0
2023-04-01,2023,4,267,63,65,23.59550561797753,24.344569288389515,0.7529166666666666,1.9084578354063289,11,45.45454545454545,27.272727272727273,27.272727272727273,0.0
2023-05-01,2023,5,267,51,40,19.10112359550562,14.9812734082397,0.4166666666666667,0.4909175083453431,0,,,,
2023-06-01,2023,6,267,75,74,28.089887640449437,27.715355805243444,0.9183462532299742,1.5273687275397827,6,83.33333333333333,16.666666666666668,0.0,0.0
2023-07-01,2023,7,267,79,75,29.588014981273407,28.089887640449437,0.9913934426229508,1.817875269115384,10,30.0,60.0,10.0,0.0
2023-08-01,2023,8,267,72,69,26.96629213483146,25.84269662921348,0.705,1.1312346776971012,8,50.0,50.0,0.0,0.0
